player,pos,nation,born
Christos Tzolis,"FW,MF",GRE,2002.0
Dimitris Giannoulis,DF,GRE,1995.0
Grant Hanley,DF,SCO,1991.0
Jakob Sørensen,"MF,DF",DEN,1998.0
Jonathan Rowe,"FW,MF",ENG,2003.0
Josh Sargent,"FW,MF",USA,2000.0
Kenny McLean,MF,SCO,1992.0
Kieran Dowell,"FW,MF",ENG,1997.0
Lukas Rupp,MF,GER,1991.0
Mathias Normann,MF,NOR,1996.0
Max Aarons,DF,ENG,2000.0
Milot Rashica,"FW,MF",KVX,1996.0
Pierre Lees-Melou,MF,FRA,1993.0
Przemysław Płacheta,"FW,MF",POL,1998.0
Sam Byram,DF,ENG,1993.0
Teemu Pukki,FW,FIN,1990.0
Tim Krul,GK,NED,1988.0
Todd Cantwell,"FW,MF",ENG,1998.0
Tony Springett,"MF,FW",IRL,2002.0
Adam Armstrong,FW,ENG,1997.0
Armando Broja,FW,ALB,2001.0
Lyanco,DF,BRA,1997.0
Mohamed Elyounoussi,"MF,FW",NOR,1994.0
Romain Perraud,DF,FRA,1997.0
Valentino Livramento,DF,ENG,2002.0
Bryan Gil,"FW,MF",ESP,2001.0
Cristian Romero,DF,ARG,1998.0
Dejan Kulusevski,"MF,FW",SWE,2000.0
Emerson,"DF,MF",BRA,1999.0
Oliver Skipp,MF,ENG,2000.0
Rodrigo Bentancur,MF,URU,1997.0
Ryan Sessegnon,"DF,MF",ENG,2000.0
Adam Masina,DF,MAR,1994.0
Ashley Fletcher,FW,ENG,1995.0
Ben Foster,GK,ENG,1983.0
Christian Kabasele,DF,BEL,1991.0
Craig Cathcart,DF,NIR,1989.0
Cucho,"FW,MF",COL,1999.0
Dan Gosling,MF,ENG,1990.0
Daniel Bachmann,GK,AUT,1994.0
Danny Rose,DF,ENG,1990.0
Edo Kayembe,MF,COD,1998.0
Emmanuel Dennis,"FW,MF",NGA,1997.0
Francisco Sierralta,DF,CHI,1997.0
Hassane Kamara,DF,CIV,1994.0
Imran Louza,MF,MAR,1999.0
Ismaila Sarr,"FW,MF",SEN,1998.0
Jeremy Ngakia,DF,,2000.0
João Pedro,"FW,MF",BRA,2001.0
Juraj Kucka,MF,SVK,1987.0
Ken Sema,"MF,FW",SWE,1993.0
Kiko Femenía,DF,ESP,1991.0
Nicolas Nkoulou,DF,CMR,1990.0
Oghenekaro Etebo,MF,NGA,1995.0
Ozan Tufan,MF,TUR,1995.0
Samir Santos,DF,BRA,1994.0
Samuel Kalu,FW,NGA,1997.0
Tom Cleverley,MF,ENG,1989.0
Troy Deeney,FW,ENG,1988.0
William Troost-Ekong,DF,NGA,1993.0
Alex Král,MF,CZE,1998.0
Daniel Chesters,MF,ENG,2002.0
Harrison Ashby,DF,SCO,2001.0
Nikola Vlašić,"FW,MF",CRO,1997.0
Sonny Perkins,MF,ENG,2004.0
Chem Campbell,MF,WAL,2002.0
Chiquinho,"DF,FW",POR,2000.0
Francisco Trincão,"FW,MF",POR,1999.0
Hwang Hee-chan,"FW,MF",KOR,1996.0
José Sá,GK,POR,1993.0
Luke Cundle,MF,ENG,2002.0
Toti Gomes,DF,POR,1999.0
Ethan Nwaneri,FW,ENG,2007.0
Fabio Vieira,"MF,FW",POR,2000.0
Jakub Kiwior,DF,POL,2000.0
Marquinhos,MF,BRA,2003.0
William Saliba,DF,FRA,2001.0
Boubacar Kamara,MF,FRA,1999.0
Diego Carlos,DF,BRA,1993.0
Jáder Durán,"FW,MF",COL,2003.0
Ludwig Augustinsson,DF,SWE,1994.0
Álex Moreno,DF,ESP,1993.0
Adam Smith,DF,ENG,1991.0
Antoine Semenyo,"FW,MF",GHA,2000.0
Ben Pearson,MF,ENG,1995.0
Chris Mepham,DF,WAL,1997.0
Dango Ouattara,"MF,FW",BFA,2002.0
David Brooks,"FW,MF",WAL,1997.0
Dominic Solanke,"FW,MF",ENG,1997.0
Emiliano Marcondes,MF,DEN,1995.0
Hamed Junior Traorè,"FW,MF",CIV,2000.0
Illia Zabarnyi,DF,UKR,2002.0
Jack Stacey,DF,ENG,1996.0
Jaidon Anthony,"MF,FW",ENG,1999.0
Jamal Lowe,"MF,FW",JAM,1994.0
Jefferson Lerma,MF,COL,1994.0
Joe Rothwell,MF,ENG,1995.0
Jordan Zemura,DF,ZIM,1999.0
Junior Stanislas,MF,ENG,1989.0
Kieffer Moore,FW,WAL,1992.0
Lewis Cook,MF,ENG,1997.0
Lloyd Kelly,DF,ENG,1998.0
Marcos Senesi,DF,ARG,1997.0
Marcus Tavernier,"MF,FW",ENG,1999.0
Mark Travers,GK,IRL,1999.0
Matías Viña,DF,URU,1997.0
Neto,GK,BRA,1989.0
Owen Bevan,DF,WAL,2003.0
Philip Billing,"MF,FW",DEN,1996.0
Ryan Christie,"MF,FW",SCO,1995.0
Siriki Dembélé,"FW,MF",CIV,1996.0
Aaron Hickey,DF,SCO,2002.0
Halil Dervişoğlu,MF,TUR,1999.0
Keane Lewis-Potter,"FW,MF",ENG,2001.0
Kevin Schade,FW,GER,2001.0
Mikkel Damsgaard,"MF,FW",DEN,2000.0
Andrew Moran,FW,IRL,2003.0
Cameron Peupion,MF,AUS,2002.0
Deniz Undav,"FW,MF",GER,1996.0
Facundo Buonanotte,"FW,MF",ARG,2004.0
Jack Hinshelwood,FW,ENG,2005.0
Jan Paul van Hecke,DF,NED,2000.0
Julio Enciso,"FW,MF",PAR,2004.0
Kaoru Mitoma,"FW,MF",JPN,1997.0
Levi Colwill,DF,ENG,2003.0
Odeluga Offiah,DF,ENG,2002.0
Pervis Estupiñán,DF,ECU,1998.0
Yasin Ayari,MF,SWE,2003.0
Benoît Badiashile,DF,FRA,2001.0
David Datro Fofana,FW,CIV,2002.0
Denis Zakaria,MF,SUI,1996.0
Enzo Fernández,MF,ARG,2001.0
João Félix,"FW,MF",POR,1999.0
Kalidou Koulibaly,DF,SEN,1991.0
Lewis Hall,DF,ENG,2004.0
Mykhailo Mudryk,"FW,MF",UKR,2001.0
Noni Madueke,FW,ENG,2002.0
Omari Hutchinson,FW,ENG,2003.0
Cheick Doucouré,MF,MLI,2000.0
Chris Richards,DF,USA,2000.0
David Ozoh,FW,ENG,2005.0
Joseph Whitworth,GK,ENG,2004.0
Malcolm Ebiowei,"MF,FW",ENG,2003.0
Naouirou Ahamada,"MF,FW",FRA,2002.0
Amadou Onana,MF,BEL,2001.0
Idrissa Gana Gueye,MF,SEN,1989.0
James Garner,"MF,DF",ENG,2001.0
Nathan Patterson,"DF,MF",SCO,2001.0
Thomas Cannon,FW,IRL,2002.0
Andreas Pereira,MF,BRA,1996.0
Harry Wilson,FW,WAL,1997.0
Jay Stansfield,FW,ENG,2002.0
João Palhinha,MF,POR,1995.0
Kevin Mbabu,"DF,FW",SUI,1995.0
Layvin Kurzawa,DF,FRA,1992.0
Luke Harris,"MF,FW",WAL,2005.0
Manor Solomon,FW,ISR,1999.0
Nathaniel Chalobah,MF,ENG,1994.0
Saša Lukić,MF,SRB,1996.0
Brenden Aaronson,"MF,FW",USA,2000.0
Darko Gyabi,FW,ENG,2004.0
Georginio Rutter,"FW,MF",FRA,2002.0
Joel Robles,GK,ESP,1990.0
Luis Sinisterra,FW,COL,1999.0
Marc Roca,MF,ESP,1996.0
Mateo Joseph,"FW,MF",ESP,2003.0
Maximilian Wöber,DF,AUT,1998.0
Rasmus Kristensen,DF,DEN,1997.0
Tyler Adams,MF,USA,1999.0
Weston McKennie,MF,USA,1998.0
Wilfried Gnonto,"FW,MF",ITA,2003.0
Daniel Iversen,GK,DEN,1997.0
Harry Souttar,DF,AUS,1998.0
Tetê,FW,BRA,2000.0
Victor Bernth Kristiansen,DF,DEN,2002.0
Wout Faes,DF,BEL,1998.0
Ben Gannon-Doak,FW,SCO,2005.0
Bobby Clark,MF,ENG,2005.0
Cody Gakpo,"FW,MF",NED,1999.0
Darwin Núñez,FW,URU,1999.0
Stefan Bajcetic,MF,ESP,2004.0
Erling Haaland,FW,NOR,2000.0
Julián Álvarez,"FW,MF",ARG,2000.0
Manuel Akanji,DF,SUI,1995.0
Máximo Perrone,MF,ARG,2003.0
Rico Lewis,"DF,MF",ENG,2004.0
Sergio Gómez,"DF,MF",ESP,2000.0
Shea Charles,DF,NIR,2003.0
Stefan Ortega,GK,GER,1992.0
Antony,FW,BRA,2000.0
Casemiro,MF,BRA,1992.0
Facundo Pellistri,"FW,MF",URU,2001.0
Kobbie Mainoo,MF,ENG,2005.0
Lisandro Martínez,DF,ARG,1998.0
Marcel Sabitzer,MF,AUT,1994.0
Tyrell Malacia,DF,NED,1999.0
Alexander Isak,FW,SWE,1999.0
Lewis Miley,MF,ENG,2006.0
Sven Botman,DF,NED,2000.0
Alex Mighten,FW,ENG,2002.0
André Ayew,"FW,MF",GHA,1989.0
Brennan Johnson,"FW,MF",WAL,2001.0
Cafú,MF,POR,1993.0
Danilo,MF,BRA,2001.0
Felipe,DF,BRA,1989.0
Giulian Biancone,DF,FRA,2000.0
Gustavo Scarpa,"MF,FW",BRA,1994.0
Harry Toffolo,DF,ENG,1995.0
Jack Colback,MF,ENG,1989.0
Joe Worrall,DF,ENG,1997.0
Keylor Navas,GK,CRC,1986.0
Lewis O'Brien,MF,ENG,1998.0
Moussa Niakhate,DF,SEN,1996.0
Orel Mangala,MF,BEL,1998.0
Remo Freuler,MF,SUI,1992.0
Renan Lodi,DF,BRA,1998.0
Ryan Yates,MF,ENG,1997.0
Sam Surridge,FW,ENG,1998.0
Scott McKenna,DF,SCO,1996.0
Steve Cook,DF,ENG,1991.0
Taiwo Awoniyi,FW,NGA,1997.0
Armel Bella Kotchap,DF,GER,2001.0
Carlos Alcaraz,"MF,FW",ARG,2002.0
Dominic Ballard,"FW,MF",ENG,2005.0
Duje Ćaleta-Car,DF,CRO,1996.0
Gavin Bazunu,GK,IRL,2002.0
James Bree,DF,ENG,1997.0
Joe Aribo,"MF,FW",NGA,1996.0
Juan Larios,DF,ESP,2004.0
Kamaldeen Sulemana,"FW,MF",GHA,2002.0
Kami Doyle,MF,ENG,2005.0
Mislav Oršić,MF,CRO,1992.0
Paul Onuachu,FW,NGA,1994.0
Roméo Lavia,MF,BEL,2004.0
Samuel Amo-Ameyaw,MF,ENG,2006.0
Samuel Edozie,"FW,MF",ENG,2003.0
Sekou Mara,"FW,MF",FRA,2002.0
Arnaut Danjuma,"FW,MF",NED,1997.0
Clément Lenglet,DF,FRA,1995.0
Djed Spence,"FW,DF",ENG,2000.0
George Abbott,MF,ENG,2005.0
Harvey White,MF,ENG,2001.0
Ivan Perišić,"DF,MF",CRO,1989.0
Matthew Craig,MF,SCO,2003.0
Pape Matar Sarr,"MF,FW",SEN,2002.0
Pedro Porro,"DF,MF",ESP,1999.0
Conor Coventry,"MF,FW",IRL,2000.0
Divin Mubama,FW,ENG,2004.0
Flynn Downes,MF,ENG,1999.0
Gianluca Scamacca,FW,ITA,1999.0
Lucas Paquetá,MF,BRA,1997.0
Nayef Aguerd,DF,MAR,1996.0
Thilo Kehrer,DF,GER,1996.0
Boubacar Traoré,MF,MLI,2001.0
Connor Ronan,MF,IRL,1998.0
Daniel Bentley,GK,ENG,1993.0
Dexter Lembikisa,DF,JAM,2003.0
Diego Costa,FW,ESP,1988.0
Gonçalo Guedes,"FW,MF",POR,1996.0
Hugo Bueno,DF,ESP,2002.0
Joseph Hodge,MF,IRL,2002.0
João Gomes,MF,BRA,2001.0
Matheus Cunha,FW,BRA,1999.0
Matheus Nunes,MF,POR,1998.0
Pablo Sarabia,"FW,MF",ESP,1992.0
Sasa Kalajdzic,FW,AUT,1997.0
Jurriën Timber,DF,NED,2001.0
Finley Munroe,MF,ENG,2005.0
Kaine Kesler-Hayden,"MF,DF",ENG,2002.0
Morgan Rogers,"MF,FW",ENG,2002.0
Moussa Diaby,"FW,MF",FRA,1999.0
Nicolò Zaniolo,"FW,MF",ITA,1999.0
Omari Kellyman,FW,ENG,2005.0
Pau Torres,DF,ESP,1997.0
Alex Scott,MF,ENG,2003.0
Dominic Sadi,FW,ENG,2003.0
Enes Ünal,"FW,MF",TUR,1997.0
Ionuț Radu,GK,ROU,1997.0
James Hill,DF,ENG,2002.0
Justin Kluivert,"MF,FW",NED,1999.0
Milos Kerkez,DF,HUN,2003.0
Romain Faivre,"MF,FW",FRA,1998.0
Mark Flekken,GK,NED,1993.0
Michael Olakigbe,"DF,FW",ENG,2004.0
Myles Peart-Harris,"DF,MF",ENG,2002.0
Thomas Strakosha,GK,ALB,1995.0
Yehor Yarmoliuk,MF,UKR,2004.0
Ansu Fati,"MF,FW",ESP,2002.0
Bart Verbruggen,GK,NED,2002.0
Benicio Boaitey,"FW,DF",ENG,2004.0
Carlos Baleba,MF,CMR,2004.0
Igor,DF,BRA,1998.0
Mahmoud Dahoud,MF,GER,1996.0
Mark O'Mahony,FW,IRL,2005.0
Simon Adingra,FW,CIV,2002.0
Valentín Barco,"DF,FW",ARG,2004.0
Aaron Ramsey,"MF,FW",ENG,2003.0
Ameen Al-Dakhil,DF,BEL,2002.0
Anass Zaroury,"FW,MF",MAR,2000.0
Arijanet Muric,GK,KVX,1998.0
Benson Manuel,"MF,FW",ANG,1997.0
Han-Noah Massengo,"MF,DF",FRA,2001.0
Hannes Delcroix,DF,HAI,1999.0
Hjalmar Ekdal,DF,SWE,1998.0
Jacob Bruun Larsen,"MF,FW",DEN,1998.0
James Trafford,GK,ENG,2002.0
Jordan Beyer,DF,GER,2000.0
Josh Cullen,MF,IRL,1996.0
Lorenz Assignon,DF,TOG,2000.0
Luca Koleosho,"MF,FW",ITA,2004.0
Lyle Foster,"FW,MF",RSA,2000.0
Maxime Estève,DF,FRA,2002.0
Mike Trésor,"FW,MF",BEL,1999.0
Vitinho,"DF,MF",BRA,1999.0
Wilson Odobert,"MF,FW",FRA,2004.0
Zeki Amdouni,FW,SUI,2000.0
Alex Matos,MF,ENG,2004.0
Alfie Gilchrist,DF,ENG,2003.0
Axel Disasi,DF,FRA,1998.0
Cesare Casadei,"FW,MF",ITA,2003.0
Christopher Nkunku,"FW,MF",FRA,1997.0
Deivid Washington,"DF,FW",BRA,2005.0
Ian Maatsen,"FW,MF",NED,2002.0
Jimi Tauriainen,FW,ENG,2004.0
Joshua Acheampong,DF,ENG,2006.0
Lesley Ugochukwu,MF,FRA,2004.0
Malo Gusto,DF,FRA,2003.0
Mason Burstow,FW,ENG,2003.0
Nicolas Jackson,FW,SEN,2001.0
Đorđe Petrović,GK,SRB,1999.0
Adam Wharton,MF,ENG,2004.0
Daniel Muñoz,"DF,MF",COL,1996.0
Matheus França,"MF,FW",BRA,2004.0
Remi Matthews,GK,ENG,1994.0
Beto,FW,GNB,1998.0
Lewis Warrington,FW,ENG,2002.0
Youssef Chermiti,FW,POR,2004.0
Calvin Bassey,DF,NGA,1999.0
Fodé Ballo-Touré,"DF,MF",SEN,1997.0
Rodrigo Muniz,FW,BRA,2001.0
Conor Bradley,DF,NIR,2003.0
Dominik Szoboszlai,MF,HUN,2000.0
James McConnell,MF,ENG,2004.0
Jarell Quansah,DF,ENG,2003.0
Jayden Danns,FW,ENG,2006.0
Owen Beck,DF,WAL,2002.0
Ryan Gravenberch,MF,NED,2002.0
Wataru Endo,MF,JPN,1993.0
Alfie Doughty,DF,ENG,1999.0
Amari'i Bell,DF,JAM,1994.0
Carlton Morris,"FW,MF",ENG,1995.0
Cauley Woodrow,"FW,MF",ENG,1994.0
Chiedozie Ogbene,"MF,DF",IRL,1997.0
Daiki Hashioka,DF,JPN,1999.0
Elijah Adebayo,FW,ENG,1998.0
Fred Onyedinma,"DF,MF",ENG,1996.0
Gabriel Osho,DF,NGA,1998.0
Issa Kaboré,DF,BFA,2001.0
Jacob Brown,"MF,FW",SCO,1998.0
James Shea,GK,ENG,1991.0
Jordan Clark,MF,ENG,1993.0
Joseph Johnson,DF,ENG,2006.0
Luke Berry,"MF,DF",ENG,1992.0
Mads Juel Andersen,DF,DEN,1997.0
Pelly Ruddock Mpanzu,MF,COD,1993.0
Reece Burke,DF,ENG,1996.0
Ryan Giles,"DF,MF",ENG,2000.0
Tahith Chong,"MF,FW",CUW,1999.0
Teden Mengi,DF,ENG,2002.0
Thomas Kaminski,GK,BEL,1992.0
Tom Lockyer,DF,WAL,1994.0
Zack Nelson,"MF,DF",ENG,2004.0
Jeremy Doku,"FW,MF",BEL,2002.0
Joško Gvardiol,DF,CRO,2002.0
Oscar Bobb,"FW,MF",NOR,2003.0
André Onana,GK,CMR,1996.0
Daniel Gore,MF,ENG,2004.0
Ethan Wheatley,FW,ENG,2006.0
Omari Forson,FW,ENG,2004.0
Rasmus Højlund,FW,DEN,2003.0
Sofyan Amrabat,"MF,DF",MAR,1996.0
Willy Kambwala,DF,FRA,2004.0
Alex Murphy,"DF,FW",IRL,2004.0
Amadou Diallo,MF,ENG,2003.0
Ben Parkinson,FW,ENG,2005.0
Joe White,MF,ENG,2002.0
Loris Karius,GK,GER,1993.0
Michael Ndiweni,FW,ENG,2003.0
Sandro Tonali,MF,ITA,2000.0
Andrey Santos,MF,BRA,2004.0
Brandon Aguilera,FW,CRC,2003.0
Gio Reyna,"FW,MF",USA,2002.0
Gonzalo Montiel,DF,ARG,1997.0
Ibrahim Sangaré,MF,CIV,1997.0
Matt Turner,GK,USA,1994.0
Matz Sels,GK,BEL,1992.0
Murillo,DF,BRA,2002.0
Nicolás Domínguez,"MF,FW",ARG,1998.0
Odysseas Vlachodimos,GK,GRE,1994.0
Rodrigo Ribeiro,"MF,FW",POR,2005.0
Andre Brooks,"MF,DF",ENG,2003.0
Anel Ahmedhodžić,DF,BIH,1999.0
Anis Ben Slimane,MF,TUN,2001.0
Auston Trusty,DF,USA,1998.0
Ben Brereton,"FW,MF",CHI,1999.0
Bénie Traoré,"FW,MF",CIV,2002.0
Gustavo Hamer,MF,NED,1997.0
Ivo Grbić,GK,CRO,1996.0
Oliver Arblaster,MF,ENG,2004.0
Rhys Norrington-Davies,DF,WAL,1999.0
Ryan One,FW,SCO,2006.0
Sam Curtis,DF,IRL,2005.0
Sydie Peck,MF,ENG,2004.0
Vinicius Souza,MF,BRA,1999.0
Wes Foderingham,GK,ENG,1991.0
William Osula,FW,DEN,2003.0
Yasser Larouci,DF,ALG,2001.0
Alejo Véliz,FW,ARG,2003.0
Destiny Udogie,DF,ITA,2002.0
Guglielmo Vicario,GK,ITA,1996.0
Jamie Donley,FW,NIR,2005.0
Micky van de Ven,DF,NED,2001.0
Mikey Moore,MF,ENG,2007.0
Radu Drăgușin,DF,ROU,2002.0
Edson Álvarez,MF,MEX,1997.0
George Earthy,FW,ENG,2004.0
Kaelan Casey,DF,ENG,2004.0
Konstantinos Mavropanos,DF,GRE,1997.0
Mohammed Kudus,"FW,MF",GHA,2000.0
Enso Gonzalez,"MF,DF",PAR,2005.0
Jean-Ricner Bellegarde,"MF,FW",HAI,1998.0
Leon Chiwome,FW,ENG,2006.0
Nathan Fraser,FW,IRL,2005.0
Santiago Bueno,DF,URU,1998.0
Tawanda Chirewa,"MF,FW",ZIM,2003.0
Tommy Doyle,MF,ENG,2001.0
Mikel Merino,"MF,FW",ESP,1996.0
Myles Lewis-Skelly,DF,ENG,2006.0
Nathan Butler-Oyedeji,FW,ENG,2003.0
Riccardo Calafiori,DF,ITA,2002.0
Andrés García,"DF,MF",ESP,2003.0
Donyell Malen,FW,NED,1999.0
Kosta Nedeljković,DF,SRB,2005.0
Lamare Bogarde,"DF,MF",NED,2004.0
Marco Asensio,MF,ESP,1996.0
Ben Winterburn,"MF,FW",ENG,2004.0
Dean Huijsen,DF,ESP,2005.0
Evanilson,FW,BRA,1999.0
Julian Araujo,DF,MEX,2001.0
Julio Soler,"DF,FW",ARG,2005.0
Remy Rees-Dottin,FW,ENG,2006.0
Zain Silcott-Duberry,FW,MSR,2005.0
Edmond-Paris Maghoma,"MF,FW",ENG,2001.0
Gustavo Nunes,"FW,MF",BRA,2005.0
Hákon Valdimarsson,GK,ISL,2001.0
Jayden Meghoma,DF,ENG,2006.0
Kim Jisoo,DF,KOR,2004.0
Michael Kayode,DF,ITA,2004.0
Ryan Trevitt,MF,ENG,2003.0
Sepp van den Berg,DF,NED,2001.0
Thiago,"FW,MF",BRA,2001.0
Yunus Emre Konak,"FW,MF",TUR,2006.0
Brajan Gruda,"MF,FW",GER,2004.0
Diego Gómez,MF,PAR,2003.0
Eiran Cashin,DF,IRL,2001.0
Ferdi Kadioglu,"DF,MF",TUR,1999.0
Harry Howell,FW,ENG,2008.0
Mats Wieffer,"DF,MF",NED,1999.0
Matt O'Riley,MF,DEN,2000.0
Yankuba Minteh,"FW,MF",GAM,2004.0
Filip Jørgensen,GK,DEN,2002.0
Marc Guiu,FW,ESP,2006.0
Mathis Amougou,MF,FRA,2006.0
Renato Veiga,"DF,MF",POR,2003.0
Shumaira Mheuka,MF,ENG,2007.0
Tyrique George,FW,ENG,2006.0
Asher Agbinone,MF,ENG,2005.0
Caleb Kporha,DF,ENG,2006.0
Chadi Riad,DF,MAR,2003.0
Daichi Kamada,MF,JPN,1996.0
Justin Devenny,MF,NIR,2003.0
Maxence Lacroix,DF,FRA,2000.0
Romain Esse,MF,ENG,2005.0
Harrison Armstrong,MF,ENG,2007.0
Jake O'Brien,DF,IRL,2001.0
Jesper Lindstrøm,FW,DEN,2000.0
Roman Dixon,DF,ENG,2004.0
Jorge Cuenca,DF,ESP,1999.0
Martial Godo,"FW,DF",ENG,2003.0
Alex Palmer,GK,ENG,1996.0
Ali Al Hamadi,FW,IRQ,2002.0
Cameron Burgess,DF,AUS,1995.0
Christian Walton,GK,ENG,1995.0
Conor Chaplin,"MF,FW",ENG,1997.0
George Edmundson,DF,ENG,1997.0
George Hirst,FW,SCO,1999.0
Harry Clarke,DF,ENG,2001.0
Jack Clarke,"FW,MF",ENG,2000.0
Jack Taylor,MF,IRL,1998.0
Jacob Greaves,DF,ENG,2000.0
Jens Cajuste,MF,SWE,1999.0
Luke Woolfenden,DF,ENG,1998.0
Marcus Harness,MF,ENG,1996.0
Massimo Luongo,MF,AUS,1992.0
Sam Morsy,MF,EGY,1991.0
Sammie Szmodics,"FW,MF",IRL,1995.0
Wes Burns,"FW,DF",WAL,1994.0
Abdul Fatawu Issahaku,FW,GHA,2004.0
Bilal El Khannouss,"MF,FW",MAR,2004.0
Caleb Okoli,DF,ITA,2001.0
Jake Evans,FW,,
Jakub Stolarczyk,GK,POL,2000.0
Jeremy Monga,"FW,MF",,2009.0
Mads Hermansen,GK,DEN,2000.0
Michael Golding,MF,ENG,2006.0
Olabade Aluko,DF,,
Stephy Mavididi,FW,ENG,1998.0
Will Alves,FW,ENG,2005.0
Woyo Coulibaly,DF,MLI,1999.0
Federico Chiesa,FW,ITA,1997.0
Vitezslav Jaros,GK,CZE,2001.0
Abdukodir Khusanov,DF,UZB,2004.0
Claudio Echeverri,FW,ARG,2006.0
Jahmai Simpson-Pusey,DF,ENG,2005.0
Nico O’Reilly,DF,ENG,2005.0
Nicolás González,MF,ESP,2002.0
Omar Marmoush,"FW,MF",EGY,1999.0
Sávio,"FW,MF",BRA,2004.0
Vitor Reis,DF,BRA,2006.0
Altay Bayındır,GK,TUR,1998.0
Ayden Heaven,DF,ENG,2006.0
Chidozie Obi-Martin,FW,DEN,2007.0
Harry Amass,DF,ENG,2007.0
Joshua Zirkzee,"FW,MF",NED,2001.0
Leny Yoro,DF,FRA,2005.0
Manuel Ugarte,MF,URU,2001.0
Matthijs de Ligt,DF,NED,1999.0
Noussair Mazraoui,DF,MAR,1997.0
Patrick Dorgu,DF,DEN,2004.0
Toby Collyer,MF,ENG,2004.0
Tyler Fredricson,DF,ENG,2005.0
Eric da Silva Moreira,"MF,DF",GER,2006.0
Jota Silva,"FW,MF",POR,1999.0
Morato,DF,BRA,2001.0
Nikola Milenković,DF,SRB,1997.0
Ramón Sosa,"FW,MF",PAR,1999.0
Albert Grønbaek,"FW,MF",DEN,2001.0
Jay Robinson,"MF,FW",ENG,2007.0
Joachim Kayi Sanda,DF,FRA,2006.0
Joe Lumley,GK,ENG,1995.0
Mateus Fernandes,MF,POR,2004.0
Nathan Wood-Gordon,DF,ENG,2002.0
Ronnie Edwards,DF,ENG,2003.0
Ross Stewart,FW,SCO,1996.0
Ryan Manning,"DF,MF",IRL,1996.0
Taylor Harwood-Bellis,DF,ENG,2002.0
Tyler Dibling,"FW,MF",ENG,2006.0
Welington,DF,BRA,2001.0
Yukinari Sugawara,"DF,MF",JPN,2000.0
Alfie Dorrington,DF,ENG,2005.0
Antonín Kinský,GK,CZE,2003.0
Archie Gray,"DF,MF",ENG,2006.0
Brandon Austin,GK,ENG,1999.0
Kevin Danso,DF,AUT,1998.0
Lucas Bergvall,MF,SWE,2006.0
Mathys Tel,FW,FRA,2005.0
Will Lankshear,"FW,MF",ENG,2005.0
Andy Irving,MF,SCO,2000.0
Carlos Soler,"MF,FW",ESP,1997.0
Guido Rodríguez,MF,ARG,1994.0
Jean-Clair Todibo,DF,FRA,1999.0
Lewis Orford,MF,ENG,2006.0
Luis Guilherme,"MF,FW",BRA,2006.0
Niclas Füllkrug,FW,GER,1993.0
Oliver Scarles,"DF,FW",ENG,2005.0
Alfie Pond,DF,ENG,2004.0
André,MF,BRA,2001.0
Carlos Forbs,"MF,FW",POR,2004.0
Emmanuel Agbadou,DF,CIV,1997.0
Jørgen Strand Larsen,FW,NOR,2000.0
Marshall Munetsi,"MF,FW",ZIM,1996.0
Mateus Mane,MF,POR,2007.0
Nasser Djiga,DF,BFA,2002.0
Pedro Lima,DF,BRA,2006.0
Rodrigo Gomes,"DF,FW",POR,2003.0
Tom King,GK,WAL,1995.0
Yerson Mosquera,DF,COL,2001.0
