Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
0.73,2.44,52%,48%,9,17,4,3,2,3,6,8,84%,84%,1,0,,,3,10,2,4,5,14,4,3,0,1,24,44,,,2,2,6,8,,,69%,75%,21%,14%,,,12,16,8,6,55%,73%,,,20,24,3,7,,,,,1,2,,,,,,,1,0
2.15,1.54,57%,43%,22,16,7,6,1,2,10,5,88%,84%,1,2,,,6,6,9,4,19,14,3,2,0,0,45,32,,,0,7,9,13,,,82%,81%,33%,33%,,,12,13,13,9,46%,69%,,,27,27,4,10,,,,,6,6,,,,,,,,
1.76,1.33,50%,50%,10,16,3,4,1,0,4,3,83%,84%,2,2,,,6,7,1,5,8,6,2,10,0,0,23,22,,,5,3,13,15,,,75%,69%,23%,10%,,,21,15,15,13,63%,73%,,,18,21,14,6,,,,,3,1,,,,,,,,
1.66,0.76,58%,42%,17,11,6,6,4,1,6,2,77%,72%,0,1,,,6,1,5,4,9,6,8,5,1,0,23,19,,,3,1,12,9,,,63%,55%,28%,25%,,,23,19,9,12,63%,35%,,,34,48,8,11,,,,,4,5,,,,,,,,
2.01,0.36,75%,25%,25,4,6,3,3,0,16,1,91%,73%,0,5,,,10,0,9,1,15,2,10,2,1,0,47,8,,,2,3,11,7,,,83%,54%,16%,33%,,,12,13,7,11,67%,48%,,,9,37,5,13,,,,,2,5,,,,,0,1,,
2.24,0.40,56%,44%,24,8,10,2,2,0,8,4,88%,85%,,,,,8,3,6,3,20,6,4,2,0,0,37,16,,,1,1,8,13,,,79%,79%,30%,21%,,,11,10,13,8,100%,60%,,,26,29,7,8,,,,,1,8,,,,,,,2,0
1.89,0.39,62%,38%,11,3,7,1,4,0,7,4,91%,83%,0,1,,,2,1,2,1,7,3,4,0,0,0,24,10,,,0,3,13,5,,,85%,72%,54%,21%,,,13,15,5,13,50%,62%,,,19,19,6,7,,,,,1,3,,,,,,,,
0.55,1.16,45%,55%,11,14,4,7,1,3,4,6,80%,83%,1,3,,,3,3,4,4,7,10,4,4,0,0,23,31,,,0,0,15,13,,,68%,76%,20%,28%,,,16,27,13,15,67%,44%,,,29,28,11,7,,,,,4,3,,,,,,,0,1
0.78,1.52,59%,41%,13,14,3,5,0,2,9,2,85%,78%,1,1,,,3,5,7,4,6,10,7,4,1,1,24,33,,,2,4,13,10,,,77%,70%,10%,25%,,,17,12,10,13,40%,58%,,,22,28,2,7,,,,,4,3,,,,,,,,
0.22,1.49,39%,61%,6,11,2,5,0,3,3,7,73%,85%,2,1,,,2,3,2,3,4,6,2,5,0,2,25,32,,,1,4,10,9,,,53%,75%,44%,22%,,,22,23,9,10,59%,73%,,,28,20,6,6,,,,,3,2,,,,,,,0,1
